year_month;uf;product;unit;volume;created_at
'2013NOV;BAHIA;ÓLEO DIESEL S-10;m3;55057,999;2023-10-20 14:46:16.368086'
'2013DEZ;BAHIA;ÓLEO DIESEL S-10;m3;52917,869;2023-10-20 14:46:16.368086'
'2013JAN;MINAS GERAIS;ÓLEO DIESEL S-10;m3;46251,409;2023-10-20 14:46:16.368086'
'2013FEV;MINAS GERAIS;ÓLEO DIESEL S-10;m3;45857,426;2023-10-20 14:46:16.368086'
'2013MAR;MINAS GERAIS;ÓLEO DIESEL S-10;m3;55960,055;2023-10-20 14:46:16.368086'
'2013ABR;MINAS GERAIS;ÓLEO DIESEL S-10;m3;62454,572;2023-10-20 14:46:16.368086'
'2013MAI;MINAS GERAIS;ÓLEO DIESEL S-10;m3;70907,448;2023-10-20 14:46:16.368086'
'2013JUN;MINAS GERAIS;ÓLEO DIESEL S-10;m3;72272,267;2023-10-20 14:46:16.368086'
'2013JUL;MINAS GERAIS;ÓLEO DIESEL S-10;m3;84285,258;2023-10-20 14:46:16.368086'
'2013AGO;MINAS GERAIS;ÓLEO DIESEL S-10;m3;92049,299;2023-10-20 14:46:16.368086'
'2013SET;MINAS GERAIS;ÓLEO DIESEL S-10;m3;93379,884;2023-10-20 14:46:16.368086'
'2013OUT;MINAS GERAIS;ÓLEO DIESEL S-10;m3;102297,806;2023-10-20 14:46:16.368086'
'2013NOV;MINAS GERAIS;ÓLEO DIESEL S-10;m3;99560,431;2023-10-20 14:46:16.368086'
'2013DEZ;MINAS GERAIS;ÓLEO DIESEL S-10;m3;92958,034;2023-10-20 14:46:16.368086'
'2013JAN;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;7078;2023-10-20 14:46:16.368086'
'2013FEV;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;7099;2023-10-20 14:46:16.368086'
'2013MAR;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;7716;2023-10-20 14:46:16.368086'
'2013ABR;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;8872;2023-10-20 14:46:16.368086'
'2013MAI;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;9540;2023-10-20 14:46:16.368086'
'2013JUN;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;10275;2023-10-20 14:46:16.368086'
'2013JUL;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;11747,881;2023-10-20 14:46:16.368086'
'2013AGO;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;13184;2023-10-20 14:46:16.368086'
'2013SET;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;13020;2023-10-20 14:46:16.368086'
'2013OUT;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;15320;2023-10-20 14:46:16.368086'
'2013NOV;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;14655,5;2023-10-20 14:46:16.368086'
'2013DEZ;ESPÍRITO SANTO;ÓLEO DIESEL S-10;m3;13948;2023-10-20 14:46:16.368086'
'2013JAN;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;71139,001;2023-10-20 14:46:16.368086'
